mass_A
t	x	y
6.666666667E-2	2.452831828E-4	-1.192920113E-2
1.000000000E-1	2.439319533E-4	-1.192799885E-2
1.333333333E-1	2.444164224E-4	-1.192778344E-2
1.666666667E-1	2.560440988E-4	-1.191794953E-2
2.000000000E-1	2.260009710E-4	-1.188539524E-2
2.333333333E-1	2.697148061E-4	-1.185394425E-2
2.666666667E-1	2.413438195E-4	-1.187984824E-2
3.000000000E-1	2.503157385E-4	-1.188655209E-2
3.333333333E-1	2.493819648E-4	-1.187279616E-2
3.666666667E-1	2.536656171E-4	-1.189069116E-2
4.000000000E-1	2.657018669E-4	-1.191391692E-2
4.333333333E-1	2.039364681E-4	-1.185525534E-2
4.666666667E-1	2.178350327E-4	-1.187903591E-2
5.000000000E-1	2.127343061E-4	-1.182742357E-2
5.333333333E-1	2.519323548E-4	-1.187965790E-2
5.666666667E-1	2.552968672E-4	-1.183643033E-2
6.000000000E-1	2.910701798E-4	-1.187620468E-2
6.333333333E-1	3.200645470E-4	-1.186921391E-2
6.666666667E-1	3.609113819E-4	-1.186777754E-2
7.000000000E-1	3.669775995E-4	-1.187375897E-2
7.333333333E-1	3.760995617E-4	-1.187782070E-2
7.666666667E-1	3.560964581E-4	-1.188050695E-2
8.000000000E-1	3.856037674E-4	-1.190738295E-2
8.333333333E-1	3.991598796E-4	-1.195098460E-2
8.666666667E-1	3.961380985E-4	-1.194072188E-2
9.000000000E-1	3.914781525E-4	-1.185911423E-2
9.333333333E-1	4.235443194E-4	-1.185994897E-2
9.666666667E-1	4.359081038E-4	-1.192535270E-2
1.000000000E0	1.932874866E-3	-1.178451078E-2
1.033333333E0	1.940616609E-3	-1.189224530E-2
1.066666667E0	1.944877476E-3	-1.190870929E-2
1.100000000E0	1.999795090E-3	-1.183813806E-2
1.133333333E0	1.976411770E-3	-1.192004808E-2
1.166666667E0	1.982827852E-3	-1.193240415E-2
1.200000000E0	2.057301565E-3	-1.193585339E-2
1.233333333E0	1.969165654E-3	-1.194253329E-2
1.266666667E0	1.944450000E-3	-1.195163057E-2
1.300000000E0	1.960112682E-3	-1.193752633E-2
1.333333333E0	1.958571236E-3	-1.194108508E-2
1.366666667E0	1.920541753E-3	-1.194195255E-2
1.400000000E0	1.920984093E-3	-1.194095701E-2
1.433333333E0	1.900716918E-3	-1.194430386E-2
1.466666667E0	1.771560590E-3	-1.193526706E-2
1.500000000E0	1.569217540E-3	-1.196011309E-2
1.533333333E0	1.599517447E-3	-1.193942983E-2
1.566666667E0	1.450074952E-3	-1.196504677E-2
1.600000000E0	1.174623041E-3	-1.206731373E-2
1.633333333E0	1.101469883E-3	-1.201770454E-2
1.666666667E0	4.563864921E-4	-1.260960156E-2
1.700000000E0	-5.430666515E-3	-1.070906744E-2
1.733333333E0	-1.150896767E-2	-1.154078751E-2
1.766666667E0	-2.472317642E-2	-1.045313447E-2
1.800000000E0	-3.612376881E-2	-1.191747776E-2
1.833333333E0	-5.056318128E-2	-1.117996276E-2
1.866666667E0	-6.809731525E-2	-1.211189424E-2
1.900000000E0	-8.669072524E-2	-1.081055837E-2
1.933333333E0	-1.060069933E-1	-1.174832498E-2
1.966666667E0	-1.265349568E-1	-1.084016481E-2
2.000000000E0	-1.468306500E-1	-1.167965554E-2
2.033333333E0	-1.660493142E-1	-1.023432152E-2
2.066666667E0	-1.848491872E-1	-1.013323119E-2
2.100000000E0	-2.025423878E-1	-9.415344101E-3
2.133333333E0	-2.193837151E-1	-1.045004896E-2
2.166666667E0	-2.327957986E-1	-9.454995160E-3
2.200000000E0	-2.445152009E-1	-9.163109323E-3
2.233333333E0	-2.544245059E-1	-8.781648831E-3
2.266666667E0	-2.622656802E-1	-9.237086232E-3
2.300000000E0	-2.643296538E-1	-9.386589619E-3
2.333333333E0	-2.678758968E-1	-8.968786688E-3
2.366666667E0	-2.672892263E-1	-9.136306328E-3
2.400000000E0	-2.626597856E-1	-8.952531914E-3
2.433333333E0	-2.576263168E-1	-9.103207792E-3
2.466666667E0	-2.485429014E-1	-9.093696214E-3
2.500000000E0	-2.401299893E-1	-9.605513357E-3
2.533333333E0	-2.282914414E-1	-9.007250999E-3
2.566666667E0	-2.131848708E-1	-1.026702927E-2
2.600000000E0	-2.015049591E-1	-9.907828154E-3
2.633333333E0	-1.862379145E-1	-1.013013499E-2
2.666666667E0	-1.711223886E-1	-1.019387941E-2
2.700000000E0	-1.563820471E-1	-1.038010125E-2
2.733333333E0	-1.416594561E-1	-9.985848556E-3
2.766666667E0	-1.278130111E-1	-1.062251794E-2
